video_name,shooting_arm,S_avg_knee_bend,S_max_knee_bend,S_avg_body_lean,S_max_body_lean,S_min_body_lean,S_frame_count,R_avg_hip_angle,R_avg_knee_bend,R_avg_elbow_angle,R_max_wrist_height,R_avg_knee_velocity,R_frame_count,F_release_angle,F_elbow_above_eye,F_body_lean_angle,F_hip_angle,F_knee_angle,y
MISS-33.mov,RIGHT,120.1115504595244,118.07631550771616,9.442591777294195,11.326174141196462,7.263045624290403,10,166.36096501143322,145.58341127229437,104.17736058954576,2.760246691573258,125.61687535058304,13,42,-7.931509782142202,-0.2458764680513218,179.8648286391235,172.1886096656797,0
MISS-27.mov,RIGHT,127.57197803612456,118.53904564476818,4.327886793162489,7.083825143869895,0.0932388289962091,15,176.80104130729526,165.80032490819087,123.51656041294308,2.317620106315086,131.58111279300442,4,39,-12.884880873700178,0.343817423843787,177.68576311318554,171.48630090600523,0
MISS-40.mov,RIGHT,146.64050146901832,145.03130351394037,10.88778084149927,12.161168375799027,7.680220104323219,9,164.7415215317799,158.9729559286391,139.74288482560883,3.5375949332782963,117.76209659699504,3,64,1.6885366162695377,6.713339673812141,168.19398996608524,162.83991849308055,0
MAKE-22.mov,RIGHT,146.51489606965995,143.74748250931106,8.216039647520843,10.947532772697624,4.6782076551339955,8,169.13735902236365,161.38223278171284,132.26861708271483,3.9687837935922983,104.39188809045604,3,57,-0.2984172310225292,4.550285821168846,172.08020367961862,165.04008256463982,1
MISS-41.mov,RIGHT,144.44884261288706,141.70846267533562,8.536712761237784,9.951212368767733,6.6599280079038135,9,165.4560239116015,157.60378719470518,128.18527692515588,3.1855095825642508,131.14191223562614,2,44,-14.070993323496332,4.746745516295617,167.4075377736509,159.7894857319656,0
MAKE-AD-4.mov,RIGHT,137.52288172834974,134.51241515044828,6.343679719592234,7.5209212006116175,4.6710477345900365,6,169.6723732064161,150.70684773843374,118.47980247273792,3.389558081336213,112.00205778059548,8,52,-1.5697768727498285,-2.9401292412804696,179.72405108216086,165.04832332549472,1
MISS-43.mov,RIGHT,147.10029389997334,143.73568586686127,9.410456274335203,11.229691756868217,5.304887796674057,11,171.06379254579568,166.3575230472719,139.7359879418408,4.356854471682865,126.18049442642204,3,63,2.5615242016521136,5.172919482426893,173.55220502808518,170.30508226553977,0
MAKE-20.mov,RIGHT,128.93588793797375,125.05599757177626,8.128870653282805,8.968462101302956,7.224938368739689,8,164.2940440651827,141.76249926766198,97.87080343610636,3.1787861049134674,108.9531018722756,12,43,-12.772695625020026,2.8552125597076,176.31914521848748,165.61712764487555,1
MAKE-21.mov,RIGHT,141.60661914595514,138.5163873764871,11.368936239633628,13.339985594238234,6.8944588647537834,9,162.37654131965203,156.08803912907246,137.14246737209234,3.437068916226264,134.89012292295882,2,50,-9.92385778265522,7.006230346430574,163.84644414602718,158.3362078444551,1
MISS-42.mov,RIGHT,149.35435207560448,145.71632620203184,9.88259839731752,10.89180226421782,6.210600806131876,22,166.8934367908088,156.44771729798694,127.2273454479858,3.4981287145366875,87.36492646196282,3,52,-8.228002467013045,4.379001816131498,169.2746010354429,159.4900850499438,0
